id_feed;code_feed;media_name;language;country;media_code;type_feed;periodicity;url_media;url_feed;date_first_item;active_feed;date_last_item
23409;fr_FRA_20minu_une;20 minutes;fr;FRA;20minu;Une;quotidien;http://www.20minutes.fr;http://www.20minutes.fr/rss/une.xml;23/12/2013;t;
10144558;ar_EGY_alahra_une;Al-Ahram;ar;EGY;alahra;Une;quotidien;http://www.ahram.org.eg/;http://www.ahram.org.eg/archive/RssXml.aspx?CategoryID=25;16/10/2015;t;
10144554;ar_EGY_alahra_int;Al-Ahram;ar;EGY;alahra;International;quotidien;http://www.ahram.org.eg/;http://www.ahram.org.eg/archive/RssXml.aspx?CategoryID=2;16/10/2015;t;
10146395;ar_ARE_albaya_int;Al Bayan;ar;ARE;albaya;International;quotidien;http://www.albayan.ae/;http://www.albayan.ae/1.450?ot=ot.AjaxPageLayout;16/10/2015;t;
10146417;ar_ARE_albaya_brn;Al Bayan;ar;ARE;albaya;Breaking news;quotidien;http://www.albayan.ae/;http://www.albayan.ae/1.446?ot=ot.AjaxPageLayout;16/10/2015;t;
10144492;ar_QAT_aljaze_gen;Al Jazeera;ar;QAT;aljaze;General;quotidien;http://www.aljazeera.net/portal;http://www.aljazeera.net/aljazeerarss/3c66e3fb-a5e0-4790-91be-ddb05ec17198/4e9f594a-03af-4696-ab98-880c58cd6718;16/10/2015;t;
10144402;ar_QAT_aljaze_int;Al Jazeera;ar;QAT;aljaze;International;quotidien;http://www.aljazeera.net/portal;http://www.aljazeera.net/aljazeerarss/47e851f7-db55-45b6-8d9b-d54055bec967/0b6b9876-62a7-46b4-be20-8b77d302f9d7;16/10/2015;t;
74;en_XX _africa_gen;All Africa;en;XX ;africa;General;quotidien;http://allafrica.com/;http://allafrica.com/tools/headlines/rdf/angola/headlines.rdf;19/12/2013;t;
510;en_BLZ_amanda_gen;Amandala;en;BLZ;amanda;General;quotidien;http://amandala.com.bz/;http://amandala.com.bz/news/feed/;19/12/2013;t;
79;en_SAU_arabnw_int;Arab news;en;SAU;arabnw;International;quotidien;http://www.arabnews.com;http://www.arabnews.com/cat/3/rss.xml;19/12/2013;t;
78;en_SAU_arabnw_une;Arab news;en;SAU;arabnw;Une;quotidien;http://www.arabnews.com;http://www.arabnews.com/rss.xml;19/12/2013;t;
1027776;en_KWT_arabti_int;Arab Times Kuwait;en;KWT;arabti;International;quotidien;http://www.arabtimesonline.com/;http://www.arabtimesonline.com/DesktopModules/DNNArticle/DNNArticleRSS.aspx?moduleid=414&tabid=69&categoryid=51;16/04/2014;f;29/04/2015
16985;en_KWT_arabti_une;Arab Times Kuwait;en;KWT;arabti;Une;quotidien;http://www.arabtimesonline.com/;http://www.arabtimesonline.com/DesktopModules/DNNArticle/DNNArticleRSS.aspx?moduleidx3d-1x26tabidx3d69x26categoryidx3d-1;20/12/2013;f;30/04/2015
87;en_ARM_aravot_gen;Aravot (Morning);en;ARM;aravot;General;quotidien;http://en.aravot.am;http://en.aravot.am/feed/;19/12/2013;t;
85;en_ARG_argind_uni;argentina independent;en;ARG;argind;Unique;mensuel;http://www.argentinaindependent.com;http://www.argentinaindependent.com/feed/;19/12/2013;t;
939341;en_JPN_asahis_uni;Asahi Shimbun;en;JPN;asahis;Unique;quotidien;http://ajw.asahi.com/?iref=comtop_footer;http://ajw.asahi.com/feed/;08/04/2014;t;
148;en_AUT_austim_gen;Austrian Times;en;AUT;austim;General;quotidien;http://austriantimes.at/;http://www.austriantimes.at/RSS-Feed/onobase/generatedRssXMLs/news.xml;19/12/2013;f;11/05/2015
950496;en_THA_bangko_brn;Bangkok Post;en;THA;bangko;Breaking news;quotidien;http://www.bangkokpost.com;http://www.bangkokpost.com/rss/data/breakingnews.xml;09/04/2014;t;
512;en_BTN_bhutan_uni;Bhutan Observer;en;BTN;bhutan;Unique;quotidien;http://bhutanobserver.bt/;http://bhutanobserver.bt/rss.aspx;19/12/2013;t;
1125;en_BRN_borneo_brn;Borneo Bulletin;en;BRN;borneo;Breaking news;quotidien;http://borneobulletin.brunei-online.com/;http://borneobulletin.com.bn/feed/;19/12/2013;t;
853244;pt_BRA_defato_int;Brasil de Fato;pt;BRA;defato;International;hebdomadaire;http://www.brasildefato.com.br;http://www.brasildefato.com.br/rss_internacional;31/03/2014;t;
83;en_ARG_bueair_uni;Buenos Aires Herald;en;ARG;bueair;Unique;quotidien;http://www.buenosairesherald.com;http://www.buenosairesherald.com/articles/rss.aspx;19/12/2013;t;
853259;pt_BRA_cartac_int;Carta Capital;pt;BRA;cartac;International;hebdomadaire;http://www.cartacapital.com.br/;http://www.cartacapital.com.br/internacional/internacional/atom.xml;31/03/2014;t;
853276;pt_BRA_cartac_brn;Carta Capital;pt;BRA;cartac;Breaking news;hebdomadaire;http://www.cartacapital.com.br/;http://www.cartacapital.com.br/atom.xml;03/04/2014;t;
9841;en_CHN_chinad_int;China Daily;en;CHN;chinad;International;quotidien;http://www.chinadaily.com.cn;http://www.chinadaily.com.cn/rss/world_rss.xml;19/12/2013;t;
15973;en_ZWE_chroni_int;Chronicle;en;ZWE;chroni;International;quotidien;http://www.chronicle.co.zw;http://www.chronicle.co.zw/category/s6-demo-section/c45-international-news/feed/;21/01/2014;t;
15971;en_ZWE_chroni_gen;Chronicle;en;ZWE;chroni;General;quotidien;http://www.chronicle.co.zw;http://www.chronicle.co.zw/feed/;21/01/2014;t;
852164;pt_BRA_corrio_int;Corrieo Braziliense;pt;BRA;corrio;International;quotidien;http://www.correiobraziliense.com.br;http://www.correiobraziliense.com.br/rss/noticia/mundo/rss.xml;31/03/2014;t;
1049427;it_ITA_corrie_int;Corriere della Sera;it;ITA;corrie;International;quotidien;http://www.corriere.it/;http://xml.corriereobjects.it/rss/esteri.xml;17/04/2014;t;
156625;it_ITA_corrie_gen;Corriere della Sera;it;ITA;corrie;General;quotidien;http://www.corriere.it/;http://www.corriere.it/rss/homepage.xml;14/01/2014;t;
9863;en_CYP_cyprus_uni;Cyprus Mail;en;CYP;cyprus;Unique;quotidien;http://cyprus-mail.com/;http://cyprus-mail.com/feed/;19/12/2013;t;
853310;pt_BRA_daglob_int;Da Globo;pt;BRA;daglob;International;quotidien;http://www.globo.com/;http://g1.globo.com/dynamo/mundo/rss2.xml;31/03/2014;t;
16108;en_GBR_dailym_brn;Daily Mail;en;GBR;dailym;Breaking news;quotidien;http://www.dailymail.co.uk/home/index.html;http://www.dailymail.co.uk/news/index.rss;20/12/2013;t;
1049913;en_GBR_dailym_gen;Daily Mail;en;GBR;dailym;General;quotidien;http://www.dailymail.co.uk/home/index.html;http://www.dailymail.co.uk/home/index.rss;16/04/2014;t;
16255;en_UGA_dailmo_int;Daily Monitor;en;UGA;dailmo;International;quotidien;http://www.monitor.co.ug;http://www.monitor.co.ug/News/World/-/688340/688340/-/view/asFeed/-/4xcc6sz/-/index.xml;20/12/2013;t;
16257;en_UGA_dailmo_brn;Daily Monitor;en;UGA;dailmo;Breaking news;quotidien;http://www.monitor.co.ug;http://www.monitor.co.ug/News/-/688324/688324/-/view/asFeed/-/wiq989/-/index.xml;20/12/2013;t;
1050175;en_UGA_dailmo_gen;Daily Monitor;en;UGA;dailmo;General;quotidien;http://www.monitor.co.ug;http://www.monitor.co.ug/-/691150/691150/-/view/asFeed/-/11emxavz/-/index.xml;16/04/2014;t;
76;en_ATG_dailyo_gen;Daily Observer;en;ATG;dailyo;General;quotidien;http://www.antiguaobserver.com;http://www.antiguaobserver.com/feed/;19/12/2013;t;
1054781;en_ATG_dailyo_int;Daily Observer;en;ATG;dailyo;International;quotidien;http://www.antiguaobserver.com;http://www.antiguaobserver.com/?cat=8&feed=rss2;15/04/2014;t;
89;en_GBR_dailyt_int;Daily telegraph;en;GBR;dailyt;International;quotidien;http://www.telegraph.co.uk/;http://www.telegraph.co.uk/news/worldnews/rss;19/12/2013;t;
131;en_AUS_dteleg_brn;Daily Telegraph (AUS);en;AUS;dteleg;Breaking news;quotidien;http://www.dailytelegraph.com.au/;http://feeds.news.com.au/public/rss/2.0/dtele_breaking_news_199.xml;19/12/2013;t;
9531;en_AUS_dteleg_int;Daily Telegraph (AUS);en;AUS;dteleg;International;quotidien;http://www.dailytelegraph.com.au/;http://feeds.news.com.au/public/rss/2.0/dtele_world_news_204.xml;19/12/2013;t;
766652;es_ESP_deiaxx_une;DEIA;es;ESP;deiaxx;Une;quotidien;http://www.deia.com/;http://www.deia.com/index.php/services/rss;21/03/2014;t;
766664;es_ESP_deiaxx_int;DEIA;es;ESP;deiaxx;International;quotidien;http://www.deia.com/;http://www.deia.com/index.php/services/rss?seccion=mundo;21/03/2014;t;
1056291;fr_BEL_derheu_int;Dernière Heure;fr;BEL;derheu;International;quotidien;http://www.dhnet.be/;http://www.dhnet.be/rss/section/actu/monde.xml;12/04/2014;t;
164;fr_BEL_derheu_une;Dernière Heure;fr;BEL;derheu;Une;quotidien;http://www.dhnet.be/;http://www.dhnet.be/rss;19/12/2013;t;
23406;fr_FRA_dernou_gen;Dernières Nouvelles d'Alsace;fr;FRA;dernou;General;quotidien;http://www.dna.fr;http://www.dna.fr/rss;23/12/2013;t;
1056302;fr_FRA_dernou_int;Dernières Nouvelles d'Alsace;fr;FRA;dernou;International;quotidien;http://www.dna.fr;http://www.dna.fr/actualite/france-monde/rss;17/04/2014;t;
72;ca_AND_diaria_uni;Diari d'Andorra;ca;AND;diaria;Unique;quotidien;http://www.diariandorra.ad;http://www.diariandorra.ad/nXml/nXml.php;19/12/2013;t;
766700;es_ESP_mallor_int;Diario de Mallorca;es;ESP;mallor;International;quotidien;http://www.diariodemallorca.es/;http://www.diariodemallorca.es/elementosInt/rss/7;21/03/2014;t;
852184;pt_BRA_nordes_int;Diario do Nordeste;pt;BRA;nordes;International;quotidien;http://diariodonordeste.verdesmares.com.br/;http://diariodonordeste.verdesmares.com.br/feed/internacional-1.784447;31/03/2014;t;
852206;pt_BRA_nordes_brn;Diario do Nordeste;pt;BRA;nordes;Breaking news;quotidien;http://diariodonordeste.verdesmares.com.br/;http://diariodonordeste.verdesmares.com.br/feed/ultima-hora-1.784440;31/03/2014;t;
1466307;de_DEU_tagesz_gen;Die Tageszeitung (taz);de;DEU;tagesz;General;quotidien;http://www.taz.de;"http://www.taz.de/!p4608;rss/";02/05/2014;t;
1466254;de_DEU_diewel_int;Die Welt;de;DEU;diewel;International;quotidien;http://www.welt.de;http://www.welt.de/politik/ausland/?service=Rss;02/05/2014;t;
1466289;de_DEU_diewel_gen;Die Welt;de;DEU;diewel;General;quotidien;http://www.welt.de;http://www.welt.de/?service=Rss;02/05/2014;t;
766727;es_ESP_confid_int;El Confidencial;es;ESP;confid;International;pure-player;http://www.elconfidencial.com/;http://rss.elconfidencial.com/mundo/;21/03/2014;t;
4285488;es_BOL_eldebe_uni;El deber;es;BOL;eldebe;Unique;quotidien;http://www.eldeber.com.bo/;http://www.eldeber.com.bo/rss/;13/01/2015;t;
744238;es_BOL_eldebe_int;El deber;es;BOL;eldebe;International;quotidien;http://www.eldeber.com.bo/;http://www.eldeber.com.bo/rss/internacional.php;19/03/2014;f;04/10/2014
744192;es_BOL_eldebe_brn;El deber;es;BOL;eldebe;Breaking news;quotidien;http://www.eldeber.com.bo/;http://www.eldeber.com.bo/rss/ultimas-noticias.php;19/03/2014;f;04/10/2014
